(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,163.716,11,1,
1,166.679,9,1,
1,168.065,6,1,
1,168.695,7,1,
1,172.116,5,1,
1,172.737,6,1,
1,172.98,6,1,
1,174.013,7,1,
1,175.225,8,1,
1,175.555,9,1,
1,175.934,10,1,
1,176.084,11,1,
1,179.267,8,1,
1,180.296,9,1,
1,180.342,10,1,
1,180.536,11,1,
1,180.588,12,1,
1,182.05,11,1,
1,182.486,12,1,
1,185.136,10,1,
1,188.287,10,1,
1,189.577,10,1,
1,191.084,9,1,
1,192.483,10,1,
1,193.225,10,1,
1,194.16,11,1,
1,194.213,12,1,
1,194.692,13,1,
1,195.719,13,1,
1,196.289,14,1,
1,198.911,12,1,
1,199.832,12,1,
1,200.095,13,1,
1,200.391,14,1,
1,200.4,15,1,
1,200.575,16,1,
1,203.915,16,1,
1,205.345,16,1,
1,206.349,17,1,
1,209.962,16,1,
1,210.614,17,1,
1,211.303,17,1,
1,213.507,16,1,
1,213.712,17,1,
1,214.641,18,1,
1,215.725,19,1,
1,217.819,16,1,
1,218.196,17,1,
1,220.08,13,1,
1,220.635,14,1,
1,221.521,14,1,
1,222.584,14,1,
1,224.5,14,1,
1,224.658,15,1,
1,224.881,16,1,
1,227.69,15,1,
1,230.154,14,1,
1,230.239,15,1,
1,230.475,15,1,
1,230.988,15,1,
1,232.063,16,1,
1,233.057,15,1,
1,233.314,16,1,
1,234.558,17,1,
1,236.462,17,1,
1,236.693,18,1,
1,237.167,18,1,
1,237.718,19,1,
1,238.196,19,1,
1,240.071,20,1,
1,240.119,21,1,
1,240.133,22,1,
1,242.791,22,1,
1,243.36,23,1,
1,245.068,23,1,
1,247.032,22,1,
1,247.247,23,1,
1,250.347,20,1,
1,251.193,20,1,
1,252.611,18,1,
1,253.836,16,1,
1,255.234,14,1,
1,256.187,14,1,
1,256.819,15,1,
1,257.006,15,1,
1,257.725,16,1,
1,257.986,17,1,
1,260.238,12,1,
1,261.155,13,1,
1,263.694,13,1,
1,264.16,14,1,
1,264.612,15,1,
1,266.089,14,1,
1,266.399,14,1,
1,266.568,15,1,
1,266.861,16,1,
1,267.709,17,1,
1,268.216,18,1,
1,269.49,19,1,
1,269.534,20,1,
1,273.985,19,1,
1,274.243,20,1,
1,275.04,19,1,
1,275.341,20,1,
1,277.006,21,1,
1,277.628,21,1,
1,279.712,18,1,
1,279.851,19,1,
1,281.953,18,1,
1,283.766,17,1,
1,284.951,14,1,
1,286.457,12,1,
1,286.758,13,1,
1,289.36,13,1,
1,289.689,14,1,
1,289.926,15,1,
1,290.521,15,1,
1,290.579,16,1,
1,291.186,17,1,
1,291.402,18,1,
1,292.805,16,1,
1,293.896,13,1,
